episode_id,seed,condition,controller,detection_correct,detection_present,localization_error_m,task_complete,collision_free,safe_completion,goal_error_m,obstacle_contact_ticks,path_length_m,ticks,replans,semantic_wakes,detector_latency_ms
seed-6210-opaque-rgb_only,6210,OPAQUE,RGB_ONLY,True,True,0.0021960763239219755,True,True,True,0.09993847495425283,0,2.587981223438723,274,0,0,0.35
seed-6210-opaque-rgbd_motion,6210,OPAQUE,RGBD_MOTION,True,True,0.0021960763239219755,True,True,True,0.09993847495425283,0,2.587981223438723,274,0,0,0.72
seed-6211-eval_x2-hierarchical,6211,EVAL_X2,HIERARCHICAL,True,True,0.005016166893131436,True,True,True,0.09824069844788447,0,2.5474441846912184,274,0,0,0.72
seed-6211-eval_x2-rgb_only,6211,EVAL_X2,RGB_ONLY,False,False,,False,False,False,1.3709270794526713,267,1.039866508562276,300,0,0,0.35
seed-6211-eval_x2-rgbd_motion,6211,EVAL_X2,RGBD_MOTION,True,True,0.005016166893131436,True,True,True,0.09824069844788447,0,2.5474441846912184,274,0,0,0.72
seed-6211-no_obstacle-hierarchical,6211,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09787337818336968,0,2.2983576006652138,134,0,0,0.72
seed-6211-no_obstacle-rgb_only,6211,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09787337818336968,0,2.2983576006652138,134,0,0,0.35
seed-6211-no_obstacle-rgbd_motion,6211,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09787337818336968,0,2.2983576006652138,134,0,0,0.72
seed-6211-opaque-hierarchical,6211,OPAQUE,HIERARCHICAL,True,True,0.005016166893131436,True,True,True,0.09824069844788447,0,2.5474441846912184,274,0,0,0.72
seed-6211-opaque-rgb_only,6211,OPAQUE,RGB_ONLY,True,True,0.010431232012254906,True,True,True,0.09744822953361013,0,2.5483640973363055,274,0,0,0.35
seed-6211-opaque-rgbd_motion,6211,OPAQUE,RGBD_MOTION,True,True,0.005016166893131436,True,True,True,0.09824069844788447,0,2.5474441846912184,274,0,0,0.72
seed-6212-eval_x2-hierarchical,6212,EVAL_X2,HIERARCHICAL,True,True,0.004825663762966648,True,True,True,0.09937379873299254,0,2.5383634660382532,273,0,0,0.72
seed-6212-eval_x2-rgb_only,6212,EVAL_X2,RGB_ONLY,False,False,,False,False,False,1.3883038037988553,267,1.056261952665961,300,0,0,0.35
seed-6212-eval_x2-rgbd_motion,6212,EVAL_X2,RGBD_MOTION,True,True,0.004825663762966648,True,True,True,0.09937379873299254,0,2.5383634660382532,273,0,0,0.72
seed-6212-no_obstacle-hierarchical,6212,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09788479445050936,0,2.298713389733229,134,0,0,0.72
seed-6212-no_obstacle-rgb_only,6212,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09788479445050936,0,2.298713389733229,134,0,0,0.35
seed-6212-no_obstacle-rgbd_motion,6212,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09788479445050936,0,2.298713389733229,134,0,0,0.72
seed-6212-opaque-hierarchical,6212,OPAQUE,HIERARCHICAL,True,True,0.004825663762966648,True,True,True,0.09937379873299254,0,2.5383634660382532,273,0,0,0.72
seed-6212-opaque-rgb_only,6212,OPAQUE,RGB_ONLY,True,True,0.004825663762966648,True,True,True,0.09937379873299254,0,2.5383634660382532,273,0,0,0.35
seed-6212-opaque-rgbd_motion,6212,OPAQUE,RGBD_MOTION,True,True,0.004825663762966648,True,True,True,0.09937379873299254,0,2.5383634660382532,273,0,0,0.72
