storage_variant,trigger_variant,disturbance_family,severity,horizon,episode_count,completion_mean,progress_mean,repeated_failures_mean,false_triggers_mean,late_trigger_ticks_mean,wasted_triggers_mean,semantic_wakes_mean,motion_wakes_mean,control_wakes_mean,semantic_latency_proxy_ms_mean,motion_latency_proxy_ms_mean,control_latency_proxy_ms_mean,trigger_latency_ticks_mean_mean,stale_decisions_mean,retries_mean,escalations_mean,aborts_mean,storage_reads_mean,storage_writes_mean,storage_bytes_mean,storage_age_ticks_mean,budget_cost_proxy_mean
EPISODIC_ONLY,HYBRID,RESTRICTION_CHANGE,LOW,12,20,1.0,1.0,0.0,3.0,0.0,3.0,5.0,2.0,0.0,1.15078,0.24,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,78.0,6.0,58.326172
EPISODIC_ONLY,NO_REPLAN,AVAILABILITY_LOSS,HIGH,4,20,0.0,0.25,6.0,0.0,7.0,0.0,1.0,1.0,7.0,0.23715,0.12,0.28,0.0,7.0,7.0,0.0,1.0,1.0,9.0,715.0,0.0,28.748242
EPISODIC_ONLY,NO_REPLAN,AVAILABILITY_LOSS,HIGH,8,20,0.0,0.375,8.0,0.0,9.0,0.0,1.0,1.0,9.0,0.23872,0.12,0.36,0.0,9.0,9.0,0.0,1.0,1.0,11.0,872.0,0.0,32.901562
EPISODIC_ONLY,NO_REPLAN,AVAILABILITY_LOSS,HIGH,12,20,0.0,0.416667,10.0,0.0,11.0,0.0,1.0,1.0,11.0,0.2403,0.12,0.44,0.0,11.0,11.0,0.0,1.0,1.0,13.0,1030.0,0.0,37.055859
EPISODIC_ONLY,NO_REPLAN,AVAILABILITY_LOSS,LOW,4,20,0.0,0.25,6.0,0.0,7.0,0.0,1.0,1.0,7.0,0.23628,0.12,0.28,0.0,7.0,7.0,0.0,1.0,1.0,8.0,628.0,0.0,28.663281
EPISODIC_ONLY,NO_REPLAN,AVAILABILITY_LOSS,LOW,8,20,0.0,0.375,8.0,0.0,9.0,0.0,1.0,1.0,9.0,0.23785,0.12,0.36,0.0,9.0,9.0,0.0,1.0,1.0,10.0,785.0,0.0,32.816602
EPISODIC_ONLY,NO_REPLAN,AVAILABILITY_LOSS,LOW,12,20,0.0,0.416667,10.0,0.0,11.0,0.0,1.0,1.0,11.0,0.23943,0.12,0.44,0.0,11.0,11.0,0.0,1.0,1.0,12.0,943.0,0.0,36.970898
EPISODIC_ONLY,NO_REPLAN,CONTROL_FAILURE,HIGH,4,20,1.0,1.0,2.0,0.0,6.0,0.0,1.0,1.0,3.0,0.23233,0.12,0.12,0.0,0.0,3.0,0.0,0.0,1.0,3.0,233.0,3.0,20.277539
EPISODIC_ONLY,NO_REPLAN,CONTROL_FAILURE,HIGH,8,20,1.0,1.0,2.0,0.0,8.0,0.0,1.0,1.0,3.0,0.23233,0.12,0.12,0.0,0.0,3.0,0.0,0.0,1.0,3.0,233.0,5.0,20.277539
EPISODIC_ONLY,NO_REPLAN,CONTROL_FAILURE,HIGH,12,20,1.0,1.0,2.0,0.0,10.0,0.0,1.0,1.0,3.0,0.23233,0.12,0.12,0.0,0.0,3.0,0.0,0.0,1.0,3.0,233.0,7.0,20.277539
