axis,bootstrap_draws,candidate,ci_high,ci_low,comparator,draw_indices_sha256,effect_id,effective_seed_n,estimate,gate,metric,seed_cluster_sha256
policy,10000,EVENT_DRIVEN,0.35069444,0.32534722,PERIODIC_ONLY,078604a53dfb51ce44fc7a6d5101f14e1a6e444032dd2f5e4984ba25800ecbe4,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,0.33819444,PASS,completion,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,EVENT_DRIVEN,2.65451389,2.49375,PERIODIC_ONLY,aa0ebe4bb5463c588961f912a363c24bddae988686af6ddd8c6c928c4f4e34f6,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,2.57638889,PASS,progress,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,EVENT_DRIVEN,-18.00520833,-18.22326389,PERIODIC_ONLY,5827d0c1ac4bb81449c1f133c5be26985d20ff483ade4a09afd8d4ab20b97d9b,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,-18.115625,PASS,cost_proxy,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,HYBRID,0.32430556,0.30520833,PERIODIC_ONLY,c01f280c909babed8c3f4aa5d168a364bbc5a9a0d4ea5f2b39b492a389f63b55,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,0.31458333,PASS,completion,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,HYBRID,2.58020833,2.42986111,PERIODIC_ONLY,25e4348db58839a0aa356d1c26d4d34a1de29421159c41a54c7ae3ad87af04f3,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,2.50520833,PASS,progress,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,HYBRID,4.87847222,4.16527778,PERIODIC_ONLY,6982843d8443bb5f32a9c986835c6be9f49d344083430c1f9962f89fc74dbb82,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,4.51145833,PASS,cost_proxy,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,HYBRID,0.32465278,0.30486111,PERIODIC_ONLY,32a0017bf095a15b3b0d543a9e22d11da25be7c9a026c3fbc1d63ef10151ed81,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,0.31458333,PASS,completion,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,HYBRID,2.578125,2.42881944,PERIODIC_ONLY,1e7ef23a83f84853cdb2fee62f8ef441959d2328b04ef12ed2e4311b38a0d946,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,2.50520833,PASS,progress,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,HYBRID,4.88402778,4.16388889,PERIODIC_ONLY,d51f73b4ed38ebc3c9ad40c8ccf2c5977546b512b693bfcb6d38e897eb8d0502,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,4.51145833,PASS,cost_proxy,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,FAILURE_THRESHOLD,0.05,0.05,PERIODIC_ONLY,e390de5a4aa389cadab42c8cacad34205bcafbce75c3e32084a927b851396ad0,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,0.05,PASS,completion,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,FAILURE_THRESHOLD,0.546875,0.51041667,PERIODIC_ONLY,537cfef98902d6e1e9fdb359fe285b67ce524d105bd6e4167587a9036422574a,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,0.53020833,PASS,progress,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,FAILURE_THRESHOLD,-16.38090278,-16.44340278,PERIODIC_ONLY,93f96b10db1f2077c2def0cf0ca5c05d02cc5a824c8d4a9ef973804e81262791,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,-16.41319444,PASS,cost_proxy,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,FAILURE_THRESHOLD,0.05,0.05,PERIODIC_ONLY,c543970eedaec09d1726b89ab30bfc63418e22ce82b39d7d739f842a977adf08,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,0.05,PASS,completion,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,FAILURE_THRESHOLD,0.54791667,0.51041667,PERIODIC_ONLY,59c96608d62deaaad6ca23eacc963125d00f481967ed82022b14dd2380ecfbdb,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,0.53020833,PASS,progress,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,FAILURE_THRESHOLD,-16.38090278,-16.44270833,PERIODIC_ONLY,2f4c8c58cd7bfc128f36e3eae2da1bd1589379ad3070bf4eab7689701790c1bc,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,-16.41319444,PASS,cost_proxy,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,EVENT_DRIVEN,-0.11180556,-0.14895833,PERIODIC_ONLY,d0a0fe05a70b429d0757aee656f8bbff95dd1a3970d2879ce250a5d050251f01,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,-0.13020833,PASS,completion,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,EVENT_DRIVEN,-0.18680556,-0.44618056,PERIODIC_ONLY,cc88053b99782254215befd0849da38ba30471167c969a173d2b6d94106477c8,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,-0.31631944,PASS,progress,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,EVENT_DRIVEN,-12.19236111,-12.44930556,PERIODIC_ONLY,d1d4d6be63448341cbb0f29373fddd8b59226926b27b7ed383757a4781af7707,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,-12.33020833,PASS,cost_proxy,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,EVENT_DRIVEN,-0.11180556,-0.14895833,PERIODIC_ONLY,6997a257f2557c151f9ce883b11dcca980c21b7488cbbb9c050a87850928995e,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,-0.13020833,PASS,completion,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,EVENT_DRIVEN,-0.18819444,-0.44861111,PERIODIC_ONLY,4c158dcccc4bb50e685e1b47e7b7ff311014424d755ec72fd4b6ae3748203526,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,-0.31631944,PASS,progress,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,EVENT_DRIVEN,-12.18923611,-12.453125,PERIODIC_ONLY,11057b0e356cee8667adf29480ed01f28d3754a60bc320340a21c75b427612cb,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,-12.33020833,PASS,cost_proxy,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,HYBRID,0.025,0.025,PERIODIC_ONLY,823ccf877dbffcff9c915375bd05cc77d37d9693a0a1c55a5f2a8afe2ecb5690,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,0.025,PASS,completion,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,HYBRID,1.12118056,1.08680556,PERIODIC_ONLY,09943cc4554d67a2150bab70bd1b9ebd371ae47b0b14a7ca98a90f489970789e,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,1.10416667,PASS,progress,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,HYBRID,3.83958333,3.73402778,PERIODIC_ONLY,8955536f479b70f3979f9f9f91a659ceeacb4ae697b95273996505aad5a903b2,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,3.78854167,PASS,cost_proxy,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,HYBRID,0.025,0.025,PERIODIC_ONLY,8ac35d39bdff9583cbf153a0da3c61e2e35e54d4bffcdfc7c49da11b701cda5d,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,0.025,PASS,completion,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,HYBRID,1.12222222,1.08645833,PERIODIC_ONLY,ca58ddb034160ef3182c0882c198a419638ebbbe99050d4bc09c2f7984adb1fe,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,1.10416667,PASS,progress,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
policy,10000,HYBRID,3.84027778,3.73472222,PERIODIC_ONLY,1e022111c52d04aa1fafbe65a4508049f377036c06bc98f2bfb8a795660b27a3,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,3.78854167,PASS,cost_proxy,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
prompt,10000,VERBOSE_TYPED,0.0,0.0,COMPACT_TYPED,648783c8c179f8d545f4e4aa6fd13950f9d28d406e96945f45f9abda1ec59b00,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__PERIODIC_ONLY,12,0.0,PASS,completion,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
prompt,10000,VERBOSE_TYPED,0.0,0.0,COMPACT_TYPED,939ddedd7e019103a018a23d9d75c1c1b3d1ac43cffeab112866a18de059d044,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__PERIODIC_ONLY,12,0.0,PASS,progress,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
prompt,10000,VERBOSE_TYPED,5.63958333,5.37916667,COMPACT_TYPED,a98fd5fd5c2d66b6349016cd9215da810c1828123d8fb69900b388165e01d59b,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__PERIODIC_ONLY,12,5.509375,PASS,cost_proxy,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
prompt,10000,VERBOSE_TYPED,0.0,0.0,COMPACT_TYPED,68f9db3361f96c34e47d70d68a85aa217a5633532d6e6de41f0e2227b0f5f767,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__FAILURE_THRESHOLD,12,0.0,PASS,completion,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
prompt,10000,VERBOSE_TYPED,0.0,0.0,COMPACT_TYPED,84216b1744588f4a97127187d06a9f0f69a62cad362be6868a270b97ce2f3b42,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__FAILURE_THRESHOLD,12,0.0,PASS,progress,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
prompt,10000,VERBOSE_TYPED,5.640625,5.37708333,COMPACT_TYPED,11332200b2753eca4ff4a6450e4f8be26b8b79b74a149faad7855e70bbfe989c,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__FAILURE_THRESHOLD,12,5.509375,PASS,cost_proxy,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
prompt,10000,VERBOSE_TYPED,0.0,0.0,COMPACT_TYPED,0fd0354af9c0d4376f6e40e75ba5b4d8c421a33ce51137af209310128c0b0f96,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__EVENT_DRIVEN,12,0.0,PASS,completion,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
prompt,10000,VERBOSE_TYPED,0.0,0.0,COMPACT_TYPED,030ee6ec188ddd341632004aa6a3e27e18ad1e9a7a4d259651b741c913897fbf,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__EVENT_DRIVEN,12,0.0,PASS,progress,51ff8478c1d2983f68cafd53170273947505ae605e9c78c0e01c1e707ce6a0c7
