disturbance_family,effect_id,effective_seed_n,estimate,metric
POSE_SHIFT,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__VERBOSE_TYPED,12,2.11111111,progress
POSE_SHIFT,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__VERBOSE_TYPED,12,-9.03055556,cost_proxy
AVAILABILITY_LOSS,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__VERBOSE_TYPED,12,0.22083333,completion
AVAILABILITY_LOSS,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__VERBOSE_TYPED,12,1.71805556,progress
AVAILABILITY_LOSS,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__VERBOSE_TYPED,12,-7.32777778,cost_proxy
RESTRICTION_CHANGE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__VERBOSE_TYPED,12,0.22361111,completion
RESTRICTION_CHANGE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__VERBOSE_TYPED,12,1.78194444,progress
RESTRICTION_CHANGE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__VERBOSE_TYPED,12,-7.56388889,cost_proxy
CONTROL_FAILURE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__VERBOSE_TYPED,12,0.0,completion
CONTROL_FAILURE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__VERBOSE_TYPED,12,0.44027778,progress
CONTROL_FAILURE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__HYBRID__VERBOSE_TYPED,12,-2.28055556,cost_proxy
POSE_SHIFT,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,-0.03333333,completion
POSE_SHIFT,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,-0.725,progress
POSE_SHIFT,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,9.90277778,cost_proxy
AVAILABILITY_LOSS,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,-0.04444444,completion
AVAILABILITY_LOSS,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,-0.83888889,progress
AVAILABILITY_LOSS,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,9.86527778,cost_proxy
RESTRICTION_CHANGE,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,-0.03611111,completion
RESTRICTION_CHANGE,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,-0.76388889,progress
RESTRICTION_CHANGE,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,9.67638889,cost_proxy
CONTROL_FAILURE,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,0.0,completion
CONTROL_FAILURE,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,0.0,progress
CONTROL_FAILURE,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,-12.9,cost_proxy
POSE_SHIFT,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,-0.03333333,completion
POSE_SHIFT,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,-0.725,progress
POSE_SHIFT,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,9.90277778,cost_proxy
AVAILABILITY_LOSS,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,-0.04444444,completion
AVAILABILITY_LOSS,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,-0.83888889,progress
AVAILABILITY_LOSS,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,9.86527778,cost_proxy
RESTRICTION_CHANGE,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,-0.03611111,completion
RESTRICTION_CHANGE,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,-0.76388889,progress
RESTRICTION_CHANGE,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,9.67638889,cost_proxy
CONTROL_FAILURE,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,0.0,completion
CONTROL_FAILURE,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,0.0,progress
CONTROL_FAILURE,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,-12.9,cost_proxy
POSE_SHIFT,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,0.43055556,completion
POSE_SHIFT,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,3.26666667,progress
POSE_SHIFT,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,-19.76666667,cost_proxy
AVAILABILITY_LOSS,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,0.45972222,completion
AVAILABILITY_LOSS,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,3.52361111,progress
AVAILABILITY_LOSS,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,-19.93888889,cost_proxy
RESTRICTION_CHANGE,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,0.4625,completion
RESTRICTION_CHANGE,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,3.51527778,progress
RESTRICTION_CHANGE,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,-19.925,cost_proxy
CONTROL_FAILURE,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,0.0,completion
CONTROL_FAILURE,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,0.0,progress
CONTROL_FAILURE,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,-12.83194444,cost_proxy
POSE_SHIFT,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,0.43055556,completion
POSE_SHIFT,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,3.26666667,progress
POSE_SHIFT,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,-19.76666667,cost_proxy
AVAILABILITY_LOSS,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,0.45972222,completion
AVAILABILITY_LOSS,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,3.52361111,progress
AVAILABILITY_LOSS,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,-19.93888889,cost_proxy
RESTRICTION_CHANGE,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,0.4625,completion
RESTRICTION_CHANGE,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,3.51527778,progress
RESTRICTION_CHANGE,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,-19.925,cost_proxy
CONTROL_FAILURE,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,0.0,completion
CONTROL_FAILURE,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,0.0,progress
CONTROL_FAILURE,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,-12.83194444,cost_proxy
POSE_SHIFT,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,0.40138889,completion
POSE_SHIFT,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,3.175,progress
POSE_SHIFT,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,3.96666667,cost_proxy
AVAILABILITY_LOSS,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,0.42777778,completion
AVAILABILITY_LOSS,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,3.425,progress
AVAILABILITY_LOSS,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,2.70555556,cost_proxy
RESTRICTION_CHANGE,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,0.42916667,completion
RESTRICTION_CHANGE,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,3.42083333,progress
RESTRICTION_CHANGE,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,2.77916667,cost_proxy
CONTROL_FAILURE,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,0.0,completion
CONTROL_FAILURE,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,0.0,progress
CONTROL_FAILURE,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__COMPACT_TYPED,12,8.59444444,cost_proxy
POSE_SHIFT,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,0.40138889,completion
POSE_SHIFT,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,3.175,progress
POSE_SHIFT,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,3.96666667,cost_proxy
AVAILABILITY_LOSS,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,0.42777778,completion
AVAILABILITY_LOSS,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,3.425,progress
AVAILABILITY_LOSS,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_BELIEF__VERBOSE_TYPED,12,2.70555556,cost_proxy
