seed,variant_id,correctness,adverse_composite,semantic_mutation_correctness,history_correctness,stale_action_rate,invalid_target_rate,repeated_failed_target_rate,unnecessary_scan_rate,failure_explanation_accuracy,context_facts_mean,context_bytes_mean,control_correctness
20263039,LIVE_EPISODIC,0.5,0.3333333333333333,0.5,0.5,0.0,1.0,0.0,0.0,1.0,16.666666666666668,1420.6666666666667,1.0
20263039,LIVE_SEPARATE,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.666666666666668,1422.6666666666667,1.0
20263040,FIXED_M5,0.25,0.3333333333333333,0.25,0.16666666666666666,0.0,1.0,0.0,0.08333333333333333,0.3333333333333333,16.0,1317.0,1.0
20263040,LIVE_SEMANTIC,0.25,0.3333333333333333,0.25,0.16666666666666666,0.0,1.0,0.0,0.08333333333333333,0.3333333333333333,16.0,1318.3333333333333,1.0
20263040,LIVE_EPISODIC,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5,0.0,1.0,0.0,0.08333333333333333,1.0,16.666666666666668,1419.6666666666667,1.0
20263040,LIVE_SEPARATE,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5,0.0,1.0,0.0,0.08333333333333333,1.0,16.666666666666668,1421.0,1.0
20263041,FIXED_M5,0.4166666666666667,0.2222222222222222,0.4166666666666667,0.3333333333333333,0.0,0.6666666666666666,0.0,0.08333333333333333,0.3333333333333333,16.0,1318.0,1.0
20263041,LIVE_SEMANTIC,0.75,0.1111111111111111,0.75,0.5,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,16.0,1319.6666666666667,1.0
20263041,LIVE_EPISODIC,0.5833333333333334,0.2222222222222222,0.5833333333333334,0.6666666666666666,0.0,0.6666666666666666,0.0,0.08333333333333333,1.0,16.666666666666668,1420.6666666666667,1.0
20263041,LIVE_SEPARATE,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.666666666666668,1422.3333333333333,1.0
20263042,FIXED_M5,0.4166666666666667,0.2222222222222222,0.4166666666666667,0.3333333333333333,0.0,0.6666666666666666,0.0,0.08333333333333333,0.3333333333333333,16.0,1317.0,1.0
20263042,LIVE_SEMANTIC,0.75,0.1111111111111111,0.75,0.5,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,16.0,1319.3333333333333,1.0
20263042,LIVE_EPISODIC,0.5833333333333334,0.2222222222222222,0.5833333333333334,0.6666666666666666,0.0,0.6666666666666666,0.0,0.08333333333333333,1.0,16.666666666666668,1419.6666666666667,1.0
20263042,LIVE_SEPARATE,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.666666666666668,1422.0,1.0
20263043,FIXED_M5,0.4166666666666667,0.2222222222222222,0.4166666666666667,0.3333333333333333,0.0,0.6666666666666666,0.0,0.08333333333333333,0.3333333333333333,16.0,1316.0,1.0
20263043,LIVE_SEMANTIC,0.75,0.1111111111111111,0.75,0.5,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,16.0,1317.3333333333333,1.0
20263043,LIVE_EPISODIC,0.5833333333333334,0.2222222222222222,0.5833333333333334,0.6666666666666666,0.0,0.6666666666666666,0.0,0.08333333333333333,1.0,16.666666666666668,1418.0,1.0
20263043,LIVE_SEPARATE,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.666666666666668,1419.3333333333333,1.0
20263044,FIXED_M5,0.25,0.3333333333333333,0.25,0.16666666666666666,0.0,1.0,0.0,0.08333333333333333,0.3333333333333333,16.0,1314.0,1.0
20263044,LIVE_SEMANTIC,0.5833333333333334,0.3333333333333333,0.5833333333333334,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,16.0,1316.0,1.0
20263044,LIVE_EPISODIC,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5,0.0,1.0,0.0,0.08333333333333333,1.0,16.666666666666668,1416.0,1.0
20263044,LIVE_SEPARATE,0.8333333333333334,0.05555555555555555,0.8333333333333334,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,1.0,16.666666666666668,1418.0,1.0
20263045,FIXED_M5,0.25,0.3333333333333333,0.25,0.16666666666666666,0.0,1.0,0.0,0.08333333333333333,0.3333333333333333,16.0,1317.0,1.0
20263045,LIVE_SEMANTIC,0.6666666666666666,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,16.0,1318.0,1.0
20263045,LIVE_EPISODIC,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5,0.0,1.0,0.0,0.08333333333333333,1.0,16.666666666666668,1419.6666666666667,1.0
20263045,LIVE_SEPARATE,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.666666666666668,1420.6666666666667,1.0
20263046,FIXED_M5,0.25,0.3333333333333333,0.25,0.16666666666666666,0.0,1.0,0.0,0.08333333333333333,0.3333333333333333,16.0,1319.0,1.0
20263046,LIVE_SEMANTIC,0.75,0.1111111111111111,0.75,0.5,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,16.0,1319.0,1.0
20263046,LIVE_EPISODIC,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5,0.0,1.0,0.0,0.08333333333333333,1.0,16.666666666666668,1421.6666666666667,1.0
20263046,LIVE_SEPARATE,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.666666666666668,1421.6666666666667,1.0
20263047,FIXED_M5,0.25,0.3333333333333333,0.25,0.16666666666666666,0.0,1.0,0.0,0.08333333333333333,0.3333333333333333,16.0,1317.0,1.0
20263047,LIVE_SEMANTIC,0.6666666666666666,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,16.0,1319.0,1.0
20263047,LIVE_EPISODIC,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5,0.0,1.0,0.0,0.08333333333333333,1.0,16.666666666666668,1419.0,1.0
20263047,LIVE_SEPARATE,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.666666666666668,1421.0,1.0
20263048,FIXED_M5,0.4166666666666667,0.2222222222222222,0.4166666666666667,0.3333333333333333,0.0,0.6666666666666666,0.0,0.08333333333333333,0.3333333333333333,16.0,1317.0,1.0
20263048,LIVE_SEMANTIC,0.75,0.1111111111111111,0.75,0.5,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,16.0,1316.6666666666667,1.0
20263048,LIVE_EPISODIC,0.5833333333333334,0.2222222222222222,0.5833333333333334,0.6666666666666666,0.0,0.6666666666666666,0.0,0.08333333333333333,1.0,16.666666666666668,1422.3333333333333,1.0
20263048,LIVE_SEPARATE,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.666666666666668,1422.0,1.0
20263049,FIXED_M5,0.25,0.3333333333333333,0.25,0.16666666666666666,0.0,1.0,0.0,0.08333333333333333,0.3333333333333333,16.0,1319.0,1.0
20263049,LIVE_SEMANTIC,0.75,0.1111111111111111,0.75,0.5,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,16.0,1319.6666666666667,1.0
20263049,LIVE_EPISODIC,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5,0.0,1.0,0.0,0.08333333333333333,1.0,16.666666666666668,1421.0,1.0
20263049,LIVE_SEPARATE,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.666666666666668,1421.6666666666667,1.0
20263050,FIXED_M5,0.4166666666666667,0.2222222222222222,0.4166666666666667,0.3333333333333333,0.0,0.6666666666666666,0.0,0.08333333333333333,0.3333333333333333,16.0,1320.0,1.0
20263050,LIVE_SEMANTIC,0.5833333333333334,0.3333333333333333,0.5833333333333334,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,16.0,1318.0,1.0
20263050,LIVE_EPISODIC,0.5833333333333334,0.2222222222222222,0.5833333333333334,0.6666666666666666,0.0,0.6666666666666666,0.0,0.08333333333333333,1.0,16.666666666666668,1425.3333333333333,1.0
20263050,LIVE_SEPARATE,0.8333333333333334,0.05555555555555555,0.8333333333333334,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,1.0,16.666666666666668,1423.3333333333333,1.0
20263051,FIXED_M5,0.25,0.3333333333333333,0.25,0.16666666666666666,0.0,1.0,0.0,0.08333333333333333,0.3333333333333333,16.0,1317.0,1.0
20263051,LIVE_SEMANTIC,0.75,0.1111111111111111,0.75,0.5,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,16.0,1317.6666666666667,1.0
20263051,LIVE_EPISODIC,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5,0.0,1.0,0.0,0.08333333333333333,1.0,16.666666666666668,1419.6666666666667,1.0
20263051,LIVE_SEPARATE,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.666666666666668,1420.3333333333333,1.0
