episode_id,seed,condition,controller,detection_correct,detection_present,localization_error_m,task_complete,collision_free,safe_completion,goal_error_m,obstacle_contacts,replans,retries,semantic_wakes,path_length_m,ticks
seed-5108-no_obstacle-rgbd_motion,5108,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09789104586375334,0,0,0,0,2.3029957094055837,134
seed-5108-no_obstacle-hierarchical,5108,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09789104586375334,0,0,0,0,2.3029957094055837,134
seed-5108-opaque-rgb_only,5108,OPAQUE,RGB_ONLY,True,True,0.011106989745142666,True,True,True,0.09932062277274047,0,0,0,0,2.586232182945697,274
seed-5108-opaque-rgbd_motion,5108,OPAQUE,RGBD_MOTION,True,True,0.012017740520263576,True,True,True,0.09938949866402161,0,0,0,0,2.5862144281176134,274
seed-5108-opaque-hierarchical,5108,OPAQUE,HIERARCHICAL,True,True,0.012017740520263576,True,True,True,0.09938949866402161,0,0,0,0,2.5862144281176134,274
seed-5108-transparent-rgb_only,5108,TRANSPARENT,RGB_ONLY,False,False,,False,False,False,1.4527412790661673,268,0,0,0,0.9849356560136021,300
seed-5108-transparent-rgbd_motion,5108,TRANSPARENT,RGBD_MOTION,True,True,0.012017740520263576,True,True,True,0.09938949866402161,0,0,0,0,2.5862144281176134,274
seed-5108-transparent-hierarchical,5108,TRANSPARENT,HIERARCHICAL,True,True,0.012017740520263576,True,True,True,0.09938949866402161,0,0,0,0,2.5862144281176134,274
seed-5109-no_obstacle-rgb_only,5109,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09786885280768928,0,0,0,0,2.3022993061593944,134
seed-5109-no_obstacle-rgbd_motion,5109,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09786885280768928,0,0,0,0,2.3022993061593944,134
seed-5109-no_obstacle-hierarchical,5109,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09786885280768928,0,0,0,0,2.3022993061593944,134
seed-5109-opaque-rgb_only,5109,OPAQUE,RGB_ONLY,True,True,0.010303745043073994,True,True,True,0.09821766175522971,0,0,0,0,2.559798225894971,274
seed-5109-opaque-rgbd_motion,5109,OPAQUE,RGBD_MOTION,True,True,0.010303745043073994,True,True,True,0.09821766175522971,0,0,0,0,2.559798225894971,274
seed-5109-opaque-hierarchical,5109,OPAQUE,HIERARCHICAL,True,True,0.010303745043073994,True,True,True,0.09821766175522971,0,0,0,0,2.559798225894971,274
seed-5109-transparent-rgb_only,5109,TRANSPARENT,RGB_ONLY,False,False,,False,False,False,1.4373207196475044,268,0,0,0,0.9714712165824985,300
seed-5109-transparent-rgbd_motion,5109,TRANSPARENT,RGBD_MOTION,True,True,0.010303745043073994,True,True,True,0.09821766175522971,0,0,0,0,2.559798225894971,274
seed-5109-transparent-hierarchical,5109,TRANSPARENT,HIERARCHICAL,True,True,0.010303745043073994,True,True,True,0.09821766175522971,0,0,0,0,2.559798225894971,274
seed-5110-no_obstacle-rgb_only,5110,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09786633444869713,0,0,0,0,2.3022202750203,134
seed-5110-no_obstacle-rgbd_motion,5110,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09786633444869713,0,0,0,0,2.3022202750203,134
seed-5110-no_obstacle-hierarchical,5110,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09786633444869713,0,0,0,0,2.3022202750203,134
