comparison_metric,seed,member_count,cluster_mean,members_json
R3-R1:safety_composite,20262103,10,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:safety_composite,20262104,11,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:safety_composite,20262105,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:safety_composite,20262106,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:safety_composite,20262107,9,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:safety_composite,20262108,11,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:safety_composite,20262109,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:safety_composite,20262110,10,0.1,"[0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:progress,20262101,12,0.23808352276611008,"[2.202662392480903e-07,0.9999981566220386,0.0,6.403541474853114e-09,0.9321031053068606,0.9249009110900944,-4.621033689033993e-08,-8.028511633284552e-08,0.0,0.0,0.0,0.0]"
R3-R1:progress,20262102,12,0.24101477715064165,"[-6.16481984350159e-08,0.9999978532760625,0.0,-7.879996821724689e-08,0.9483684432363724,0.9438123616697254,-1.509818288170095e-07,-1.0409444649583932e-06,0.0,0.0,0.0,0.0]"
R3-R1:progress,20262103,10,0.19315917003199287,"[-3.548063401970225e-07,0.9999981273056255,0.0,3.9581336430671854e-07,0.9315934239451795,-9.072599893578115e-09,1.1713469938445797e-07,0.0,0.0,0.0]"
R3-R1:progress,20262104,11,0.2609497267141014,"[1.9119232896880334e-07,0.999997643569664,0.0,8.219328662129044e-09,0.9313467168862386,0.9391022294854693,7.978203797609495e-08,1.247200475118504e-07,0.0,0.0,0.0]"
R3-R1:progress,20262105,12,0.2399445323543321,"[6.365845033329265e-07,0.9999962985848818,0.0,6.578220179687122e-08,0.9436769506679542,0.935660206027074,1.1923003695457624e-08,2.1868236665945062e-07,0.0,0.0,0.0,0.0]"
R3-R1:progress,20262106,12,0.23933091501517734,"[-5.039246697702282e-08,0.9999977588178717,0.0,1.5826905941374037e-07,0.9410731996250614,0.9308996923346784,6.574166777628676e-08,1.5578625645051858e-07,0.0,0.0,0.0,0.0]"
R3-R1:progress,20262107,9,0.3213533084656879,"[2.673513391782123e-07,0.9999956266447346,0.0,-6.400612950763218e-08,0.9370906732141411,0.9550932729871054,0.0,0.0,0.0]"
R3-R1:progress,20262108,11,0.17510428355530916,"[6.940016261669513e-08,0.9999979902126089,0.0,-7.119055167592592e-08,0.926149140187985,1.7435439081392445e-07,-1.8385619482419457e-07,0.0,0.0,0.0,0.0]"
R3-R1:progress,20262109,12,0.23990420848602279,"[9.05744814927445e-07,0.999997710932438,0.0,5.927872277489143e-07,0.9357620279001,0.9430895399258827,-1.9014681140738787e-07,-8.531137873912797e-08,0.0,0.0,0.0,0.0]"
R3-R1:progress,20262110,10,0.10475446709900119,"[6.253980366910383e-08,0.9999981913464482,0.0,1.6767529054106944e-07,0.04754605000346311,-6.600070101558941e-08,2.654257073020361e-07,0.0,0.0,0.0]"
R3-R1:total_wakes,20262101,12,0.16666666666666666,"[0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:total_wakes,20262102,12,0.16666666666666666,"[0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:total_wakes,20262103,10,0.2,"[0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:total_wakes,20262104,11,0.18181818181818182,"[0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:total_wakes,20262105,12,0.25,"[0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:total_wakes,20262106,12,0.16666666666666666,"[0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:total_wakes,20262107,9,0.2222222222222222,"[0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0]"
R3-R1:total_wakes,20262108,11,0.18181818181818182,"[0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:total_wakes,20262109,12,0.16666666666666666,"[0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:total_wakes,20262110,10,0.3,"[0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0]"
